Topic,Question,Answer,Category,Related_Sections
Workplace Harassment,What are workplace harassment laws in India?,"Workplace harassment in India is primarily governed by the Sexual Harassment of Women at Workplace (Prevention Prohibition and Redressal) Act 2013 (POSH Act) and IPC sections. The POSH Act mandates that every organization with 10 or more employees must constitute an Internal Complaints Committee (ICC) to address complaints of sexual harassment. The Act defines sexual harassment to include unwelcome sexually determined behaviour whether directly or by implication such as: physical contact and advances; demand or request for sexual favours; sexually coloured remarks; showing pornography; any other unwelcome physical verbal or non-verbal conduct of sexual nature. Employers are required to provide a safe working environment and can be held liable for non-compliance.",Employment,"Section 354A IPC, Section 354B IPC, Section 354C IPC, Section 354D IPC, Section 509 IPC, POSH Act 2013"
Sexual Harassment,What is Section 354A IPC?,"Section 354A of the Indian Penal Code deals with Sexual Harassment and its Punishment. A man is guilty of sexual harassment if he commits any of the following acts: (i) Physical contact and advances involving unwelcome and explicit sexual overtures; (ii) A demand or request for sexual favours; (iii) Showing pornography against the will of a woman; or (iv) Making sexually coloured remarks. Punishment: For acts (i) (ii) and (iii) - Rigorous imprisonment which may extend to 3 years or fine or both. For act (iv) - Imprisonment which may extend to 1 year or fine or both. This is a Non-Bailable and Cognizable offense.",Workplace Harassment,Section 354A IPC
Workplace Harassment,How to file complaint under POSH Act?,"To file a complaint under the POSH Act 2013: 1) File written complaint with Internal Complaints Committee (ICC) within 3 months of incident (extendable up to 3 more months if reasons are genuine). 2) ICC must complete inquiry within 90 days. 3) If your organization doesn't have ICC or has less than 10 employees you can approach Local Complaints Committee (LCC) at district level. 4) Complaint can be filed by victim herself or with her consent any member of ICC/LCC can file on her behalf. 5) Maintain evidence: emails messages CCTV footage witness statements. 6) ICC/LCC can recommend action against harasser including termination transfer warning or compensation to victim. 7) If not satisfied with ICC decision you can approach district court within 90 days.",Employment,POSH Act 2013
Stalking,What is Section 354D IPC stalking?,"Section 354D IPC defines and punishes the offense of Stalking. Any man who: (i) follows a woman and contacts or attempts to contact such woman to foster personal interaction repeatedly despite a clear indication of disinterest by such woman; or (ii) monitors the use by a woman of the internet email or any other form of electronic communication commits the offense of stalking. However it's not stalking if: (i) pursued for preventing or detecting crime; (ii) pursued under any law; or (iii) in particular circumstances such conduct was reasonable and justified. Punishment: First conviction - Imprisonment up to 3 years with fine. Subsequent conviction - Imprisonment up to 5 years with fine. This offense is Bailable and Cognizable.",Workplace Harassment,Section 354D IPC
Voyeurism,What is Section 354C IPC voyeurism?,"Section 354C IPC deals with the offense of Voyeurism. Any man who watches or captures the image of a woman engaging in a private act in circumstances where she would usually have the expectation of not being observed either by the perpetrator or by any other person at the behest of the perpetrator or disseminates such image shall be punished. Private act includes an act of watching carried out in a place which in the circumstances would reasonably be expected to provide privacy and where the victim's genitals buttocks or breasts are exposed or covered only in underwear; or the victim is using a lavatory; or the person is doing a sexual act that is not of a kind ordinarily done in public. Punishment: First conviction - Imprisonment from 1 to 3 years with fine. Subsequent conviction - Imprisonment from 3 to 7 years with fine. This is a Non-Bailable and Cognizable offense.",Workplace Harassment,Section 354C IPC
Modesty of Woman,What is Section 509 IPC?,"Section 509 IPC deals with Word Gesture or Act Intended to Insult the Modesty of a Woman. Whoever intending to insult the modesty of any woman utters any word makes any sound or gesture or exhibits any object intending that such word or sound shall be heard or that such gesture or object shall be seen by such woman or intrudes upon the privacy of such woman shall be punished with simple imprisonment for a term which may extend to three years and also with fine. This offense is Bailable and Cognizable making it easier for women to file complaints and get immediate police action.",Workplace Harassment,Section 509 IPC
Assault on Woman,What is Section 354 IPC?,"Section 354 IPC deals with Assault or Criminal Force to Woman with Intent to Outrage her Modesty. Whoever assaults or uses criminal force to any woman intending to outrage or knowing it to be likely that he will thereby outrage her modesty shall be punished with imprisonment of either description for a term which shall not be less than one year but which may extend to five years and shall also be liable to fine. This is a Non-Bailable and Cognizable offense. The section protects women from physical assault or use of force with intent to outrage their modesty.",Workplace Harassment,Section 354 IPC
Disrobing,What is Section 354B IPC?,"Section 354B IPC deals with Assault or Use of Criminal Force to Woman with Intent to Disrobe. Any man who assaults or uses criminal force to any woman or abets such act with the intention of disrobing or compelling her to be naked shall be punished with imprisonment of either description for a term which shall not be less than three years but which may extend to seven years and shall also be liable to fine. This is a Non-Bailable and Cognizable offense providing strong protection against attempts to forcibly disrobe women.",Workplace Harassment,Section 354B IPC
Gender Discrimination,What is gender discrimination at workplace?,"Gender discrimination at workplace includes unequal treatment based on gender in hiring promotion pay work assignments or termination. It's prohibited under: 1) The Constitution of India Article 14 (Equality before law) Article 15 (Prohibition of discrimination) Article 16 (Equality of opportunity in public employment). 2) The Equal Remuneration Act 1976 mandates equal pay for equal work regardless of gender. 3) The Maternity Benefit Act 1961 protects women from discrimination related to pregnancy and maternity. 4) POSH Act 2013 prohibits retaliation or discrimination against women who file harassment complaints. Remedies: File complaint with employer's grievance redressal mechanism; approach Labour Commissioner; file writ petition in High Court under Article 226; approach National/State Human Rights Commission; file civil suit for damages.",Employment,"Article 14, Article 15, Article 16 of Constitution; Equal Remuneration Act 1976"
Domestic Violence,What is Protection of Women from Domestic Violence Act?,"The Protection of Women from Domestic Violence Act 2005 is a comprehensive legislation to protect women from domestic abuse. It covers: 1) Types of abuse: Physical Sexual Verbal/Emotional Economic violence. 2) Who is protected: Wife live-in partner sister mother daughter or any woman in domestic relationship. 3) Who can be complained against: Husband male partner-in-law or any adult male member of shared household. 4) Reliefs available: Protection Order (restraining the abuser); Residence Order (woman's right to reside in shared household); Monetary Relief (maintenance compensation medical expenses); Custody Order (custody of children); Compensation Order. 5) How to file: File complaint with Magistrate or approach Protection Officer. No fee required. 6) Breach of protection order is punishable with imprisonment up to 1 year or fine up to Rs. 20000 or both.",Family Law,"Domestic Violence Act 2005"
Dowry Harassment,What are laws against dowry harassment?,"Dowry harassment is addressed by multiple laws: 1) Dowry Prohibition Act 1961: Taking or giving dowry is illegal. Punishment: Imprisonment up to 5 years and fine up to Rs. 15000 or amount of dowry whichever is more. 2) Section 498A IPC (Cruelty by husband or relatives): Harassment of woman by husband/in-laws for dowry. Punishment: Imprisonment up to 3 years with fine. Non-Bailable and Cognizable. 3) Section 304B IPC (Dowry Death): If woman dies within 7 years of marriage due to burns/bodily injury/unnatural circumstances and she was subjected to cruelty/harassment for dowry. Punishment: Minimum 7 years extending to life imprisonment. 4) Section 406 IPC: Criminal breach of trust of woman's stridhan (personal property). To file complaint: Approach police station; file FIR under relevant sections; preserve evidence (messages emails medical records); seek protection order under DV Act; approach women's helpline 181 or NCW.",Criminal Law,"Section 498A IPC, Section 304B IPC, Section 406 IPC, Dowry Prohibition Act 1961"
Cyber Harassment,What is cyber harassment and how to report it?,"Cyber harassment includes online stalking trolling doxxing sharing intimate images without consent cyber bullying revenge porn morphed images and sexual harassment through digital means. Laws: 1) Section 354C IPC (Voyeurism) - capturing/sharing images of women in private acts. 2) Section 354D IPC (Stalking) - monitoring internet/email use. 3) Section 509 IPC - insulting modesty through electronic means. 4) Section 67 IT Act - publishing obscene material. 5) Section 67A IT Act - sexually explicit content. 6) Section 66E IT Act - violation of privacy by capturing images. How to report: 1) File complaint at www.cybercrime.gov.in - National Cyber Crime Reporting Portal. 2) Call 1930 (National Cyber Crime Helpline). 3) Visit nearest Cyber Crime Police Station. 4) Report to social media platform. 5) Preserve evidence: take screenshots save URLs messages emails. 6) Block and report the harasser. 7) Can also approach women's cyber crime cell in your state.",Cyber Crime,"Section 354C IPC, Section 354D IPC, Section 509 IPC, Section 67 IT Act, Section 67A IT Act, Section 66E IT Act"
