Section,Act,Title,Description,Category,Notes
Order 1 Rule 10,Code of Civil Procedure (CPC),Procedure where one of Several Plaintiffs or Defendants Fails to Appear,Where there are more plaintiffs or defendants than one and any of them makes default the Court may in the absence of any agreement to the contrary proceed to hear and determine the suit at the instance of or against the other parties.,Procedure,Multiple Parties
Section 9,Code of Civil Procedure (CPC),Courts to Try All Civil Suits Unless Barred,The Courts shall (subject to the provisions herein contained) have jurisdiction to try all suits of a civil nature excepting suits of which their cognizance is either expressly or impliedly barred.,Jurisdiction,Civil Suits
Section 10,Code of Civil Procedure (CPC),Stay of Suit,No Court shall proceed with the trial of any suit in which the matter in issue is also directly and substantially in issue in a previously instituted suit between the same parties or between parties under whom they or any of them claim litigating under the same title where such suit is pending in the same or any other Court in India having jurisdiction to grant the relief claimed or in any Court beyond the limits of India established or continued by the Central Government and having like jurisdiction or before the Supreme Court.,Procedure,Suit Pending
Section 11,Code of Civil Procedure (CPC),Res Judicata,No Court shall try any suit or issue in which the matter directly and substantially in issue has been directly and substantially in issue in a former suit between the same parties or between parties under whom they or any of them claim litigating under the same title in a Court competent to try such subsequent suit or the suit in which such issue has been subsequently raised and has been heard and finally decided by such Court.,Procedure,Finality of Judgment
Section 80,Code of Civil Procedure (CPC),Notice to Government,"No suit shall be instituted against the Government (including the Government of the State of Jammu and Kashmir) or against a public officer in respect of any act purporting to be done by such public officer in his official capacity until the expiration of two months next after notice in writing has been delivered to or left at the office of (a) in the case of a suit against the Central Government except where it relates to a railway a Secretary to the Government of India or the Collector of the district and in the case of a suit relating to a railway the General Manager of that railway; (b) in the case of a suit against the Government of the State of Jammu and Kashmir the Chief Secretary to the Government of the State of Jammu and Kashmir or the Collector of the district; (c) in the case of a suit against any other State Government the Secretary to that Government or the Collector of the district or in the case of a suit against the Government in respect of the administration of a cantonment Board or Port Trust the officer in charge of such Board or Trust.",Limitation,Government Suits
Section 96,Code of Civil Procedure (CPC),Appeals from Original Decrees,"Save where otherwise expressly provided in the body of this Code or by any other law for the time being in force an appeal shall lie from every decree passed by any Court exercising original jurisdiction to the Court authorized to hear appeals from the decisions of such Court. No appeal shall lie from a decree passed by the Court with the consent of parties. No appeal shall lie except on the ground mentioned in section 104 from any order made by a Court in the exercise of its original or appellate jurisdiction; but where a decree is appealed from any error defect or irregularity in any order affecting the decision of the case may be set forth as a ground of objection in the memorandum of appeal.",Appeals,Original Decree
Section 100,Code of Civil Procedure (CPC),Second Appeal,"(1) Save as otherwise expressly provided in the body of this Code or by any other law for the time being in force an appeal shall lie to the High Court from every decree passed in appeal by any Court subordinate to the High Court if the High Court is satisfied that the case involves a substantial question of law. (2) An appeal may lie under this section from an appellate decree passed ex parte. (3) In an appeal under this section the memorandum of appeal shall precisely state the substantial question of law involved in the appeal. (4) Where the High Court is satisfied that a substantial question of law is involved in any case it shall formulate that question. (5) The appeal shall be heard on the question so formulated and the respondent shall at the hearing of the appeal be allowed to argue that the case does not involve such question. Provided that nothing in this sub-section shall be deemed to take away or abridge the power of the Court to hear for reasons to be recorded an appeal on any other substantial question of law not formulated by it if it is satisfied that the case involves such question.",Appeals,Second Appeal to High Court
Section 107,Code of Civil Procedure (CPC),Powers of Appellate Court,"(1) Subject to such conditions and limitations as may be prescribed the Appellate Court shall have power (a) to determine a case finally; (b) to remand a case; (c) to frame issues and refer them for trial; (d) to take additional evidence or to require such evidence to be taken. (2) The Appellate Court shall have the same powers and shall perform as nearly as may be the same duties as are conferred and imposed by this Code on Courts of original jurisdiction in respect of suits instituted before them.",Appeals,Appellate Powers
Section 151,Code of Civil Procedure (CPC),Saving of Inherent Powers of Court,Nothing in this Code shall be deemed to limit or otherwise affect the inherent power of the Court to make such orders as may be necessary for the ends of justice or to prevent abuse of the process of the Court.,General,Inherent Powers
Order 5,Code of Civil Procedure (CPC),Issue and Service of Summons,This order deals with the issue and service of summons to defendants. Summons shall be accompanied by a copy of the plaint and shall require the defendant to appear and answer the claim within 30 days from the date of service.,Procedure,Service of Process
