Section,Act,Title,Description,Bailable,Cognizable,Category,Notes
Section 154,Code of Criminal Procedure (CrPC),Information in Cognizable Cases,"Every information relating to the commission of a cognizable offence if given orally to an officer in charge of a police station shall be reduced to writing by him or under his direction and be read over to the informant; and every such information whether given in writing or reduced to writing as aforesaid shall be signed by the person giving it and the substance thereof shall be entered in a book to be kept by such officer in such form as the State Government may prescribe in this behalf. A copy of the information as recorded shall be given forthwith free of cost to the informant.",N/A,Cognizable,FIR Registration,Right to get FIR copy free of cost
Section 156,Code of Criminal Procedure (CrPC),Police Officer's Power to Investigate Cognizable Case,"(1) Any officer in charge of a police station may without the order from a Magistrate investigate any cognizable case which a Court having jurisdiction over the local area within the limits of such station would have power to inquire into or try under the provisions of Chapter XIII. (2) No proceeding of a police officer in any such case shall at any stage be called in question on the ground that the case was one which such officer was not empowered under this section to investigate. (3) Any Magistrate empowered under section 190 may order such an investigation as above-mentioned.",N/A,Cognizable,Investigation Powers,Magistrate can direct police to investigate under Section 156(3)
Section 161,Code of Criminal Procedure (CrPC),Examination of Witnesses by Police,"(1) Any police officer making an investigation under this Chapter or any police officer not below such rank as the State Government may by general or special order prescribe in this behalf acting on the requisition of such officer may examine orally any person supposed to be acquainted with the facts and circumstances of the case. (2) Such person shall be bound to answer truly all questions relating to such case put to him by such officer other than questions the answers to which would have a tendency to expose him to a criminal charge or to a penalty or forfeiture. (3) The police officer may reduce into writing any statement made to him in the course of an examination under this section; and if he does so he shall make a separate and true record of the statement of each such person whose statement he records.",N/A,N/A,Investigation,Statement to police not admissible as evidence
Section 167,Code of Criminal Procedure (CrPC),Procedure when Investigation Cannot be Completed in Twenty-four Hours,"Whenever any person is arrested and detained in custody and it appears that the investigation cannot be completed within the period of twenty-four hours fixed by section 57 and there are grounds for believing that the accusation or information is well-founded the Magistrate to whom the accused is forwarded may whether he has or has not jurisdiction to try the case from time to time authorize the detention of the accused in such custody as such Magistrate thinks fit for a term not exceeding fifteen days in the whole. If the Magistrate has no jurisdiction to try the case or commit it for trial and considers further detention unnecessary he may order the accused to be forwarded to a Magistrate having such jurisdiction. The Magistrate may authorize detention in judicial custody. An accused person so detained in custody beyond fifteen days shall be released on bail if he is prepared to and does furnish bail and every person released on bail shall be deemed to be so released under the provisions of Chapter XXXIII for the purposes of that Chapter.",Conditional,N/A,Police Custody,Maximum 15 days police custody; thereafter must be released on bail if ready to furnish bail
Section 173,Code of Criminal Procedure (CrPC),Report of Police Officer on Completion of Investigation,"(1) Every investigation under this Chapter shall be completed without unnecessary delay. (2) As soon as it is completed the officer in charge of the police station shall forward to a Magistrate empowered to take cognizance of the offence on a police report a report in the form prescribed by the State Government.",N/A,N/A,Charge Sheet,Police report/charge sheet to be filed on completion of investigation
Section 190,Code of Criminal Procedure (CrPC),Cognizance of Offences by Magistrates,"(1) Subject to the provisions of this Chapter any Magistrate of the first class and any Magistrate of the second class specially empowered in this behalf may take cognizance of any offence (a) upon receiving a complaint of facts which constitute such offence; (b) upon a police report of such facts; (c) upon information received from any person other than a police officer or upon his own knowledge that such offence has been committed.",N/A,N/A,Cognizance,Magistrate can take cognizance on complaint police report or own knowledge
Section 197,Code of Criminal Procedure (CrPC),Prosecution of Judges and Public Servants,"(1) When any person who is or was a Judge or Magistrate or a public servant not removable from his office save by or with the sanction of the Government is accused of any offence alleged to have been committed by him while acting or purporting to act in the discharge of his official duty no Court shall take cognizance of such offence except with the previous sanction (a) in the case of a person who is employed or as the case may be was at the time of commission of the alleged offence employed in connection with the affairs of the Union of the Central Government; (b) in the case of a person who is employed or as the case may be was at the time of commission of the alleged offence employed in connection with the affairs of a State of the State Government.",N/A,N/A,Sanction for Prosecution,Sanction required to prosecute public servants for acts done in official capacity
Section 200,Code of Criminal Procedure (CrPC),Examination of Complainant,"A Magistrate taking cognizance of an offence on complaint shall examine upon oath the complainant and the witnesses present if any and the substance of such examination shall be reduced to writing and shall be signed by the complainant and the witnesses and also by the Magistrate. Provided that when the complaint is made in writing the Magistrate need not examine the complainant and the witnesses (a) if a public servant acting or purporting to act in the discharge of his official duties or a Court has made the complaint; or (b) if the Magistrate makes over the case for inquiry or trial to another Magistrate under section 192.",N/A,N/A,Private Complaint,Examination of complainant in private complaint cases
Section 204,Code of Criminal Procedure (CrPC),Issue of Process,"If in the opinion of a Magistrate taking cognizance of an offence there is sufficient ground for proceeding and the case appears to be (a) a summons-case he shall issue his summons for the attendance of the accused or (b) a warrant-case he may issue a warrant or if he thinks fit a summons for causing the accused to be brought or to appear at a certain time before such Magistrate or (if he has no jurisdiction himself) some other Magistrate having jurisdiction.",N/A,N/A,Process,Issuance of summons or warrant
Section 207,Code of Criminal Procedure (CrPC),Supply of Copies of Police Report and Other Documents to the Accused,"In any case where the proceeding has been instituted on a police report the Magistrate shall without delay furnish to the accused free of cost a copy of each of the following: (i) the police report; (ii) the first information report recorded under section 154; (iii) the statements recorded under sub-section (3) of section 161 of all the persons whom the prosecution proposes to examine as its witnesses excluding therefrom any part in regard to which a request for such exclusion has been made by the police officer under sub-section (6) of section 173; (iv) the confessions and statements if any recorded under section 164; (v) any other document or relevant extract thereof forwarded to the Magistrate with the police report under sub-section (5) of section 173.",N/A,N/A,Documents,Accused entitled to free copies of investigation documents
Section 209,Code of Criminal Procedure (CrPC),Commitment of Case to Court of Session,"When in a case instituted on a police report or otherwise the accused appears or is brought before the Magistrate and it appears to the Magistrate that the offence is triable exclusively by the Court of Session he shall (a) commit the case to the Court of Session; (b) subject to the provisions of this Code remand the accused to custody until such commitment has been made.",N/A,N/A,Commitment,Commitment to sessions court for serious offenses
